id,text,target
768016294499221504,"@pabloserrano @JesusBengoechea Madrid tiene la cultura propia de los que ""no tiene cultura propia"". Vamos, como los romanos en su tiempo ",N
768016038126620672,"Gracias por los ánimos! He dormido un poco más, me he tomado una pastilla y ha bajado a 36 y medio, pero aún me noto rara ",N
768078078589464578,"@KunMadera pues date unas cuantas horas, que es muy temprano ",NEU
768055768700575744,"@xZ4dry @xSLGY Tienes pinta buena gente por lo q veo, t he conocio gracias a qt ",P
768055711590977536,"@achocoblog ... bueno, desierta, desierta, no, con algunos seres feéricos  ",P
768055650970693632,@policia 2 horas esperando en Comisaría Gandia y han atendido a 3 personas! Y solamente para una autorización de viaje a un menor. ,N
768055614413086720,"@angeleta1973 @elespanolcom No he visto su DNI o Pasaporte pero presume de serlo aunque es muy,demasiado,peculiar y poco caritativa   ",N
768065433362726912,@AlbGarD Oh  ¿Me estás llamando gordo? JAJAJA Grazie ruliño  Lo mismo puedo decir ,N
768064666123825152,@BarrosNerea Tú siempre sexy Nerea!! Qué tengas un maravilloso día! Besitos! ,P
768064453246128128,@seestrena #seestrenasietevidas Sería un gato tipo Garfield porqué soy un poco vago y porqué me encanta la lasaña!! ,P
768063661541851137,@prxttytimebomb @emimartinez_98 Si es que odio a muerte a la nueva Harley que quieres ,N
768063618415992832,@WINTERSCLIFF0RD ni tu como soportas el calor sevillano hija mía ,N
768062895053742080,"@joseche_jagg @adsuara +10000, cremos una agencia de contratación de temporales, a ver cómo se vende a los sindicatos ",NONE
768059359934943233,.@soyalt_es estaremos atentas a las novedades futuras. ¡El final del verano no será igual sin vosotros! ,N
768058983827537920,Ayer me quedé dormido xdddd lo peor esque sigo reventado ,N
768057277865717761,"Confirmao tengo el pie roto, he notado como el puto hueso se movía ",N
768057031660072960,"@lmg muchísimas gracias Luis  Tú también eres un ejemplo de constancia y buen trabajo, espero que os vaya todo genial!",P
768056909198950401,Tengo una adicción muy seria al burguer King necesito ayuda profesional ,N
768056902655864832,"Me dice un pajarito que ahora mismo no puede reservar en la web de BiBo, lo nuevo de @danigarcia_ca. Espero que sea por la demanda. ",N
768074230541975553,@cobos_rebeca A ti por responder! Espero y deseo que te salgan nuevos proyectos!! Besitos!! ,P
768073919169458176,@PUUNISSHER @KingKongJulen @xCoorsa @Yuniiiiitoo @YouTube oye corsa  que yo no he jugado contra puni en lan,NONE
768079521648115713,Estoy preparando muchas cosas para que el especial sea muy especial ,P
768078356596330501,"Solo porque UNA persona diga que me conoce y opine sobre cómo soy, y convenza a otra de ello no significa que sea así ",NEU
768078302078722048,"@TeAbroUnaNueva porque no vives en Madrid!!  bueno yo estoy ahorrando, yo lo intento jo y si no pues en la cola y ya quedaremos a parte..",NONE
768072993511763968,"@fonzeff @malenko_ @girotix Eso me temo, mucho calor y mucha gente por todos lados, lo malo de viajar en agosto ",N
768071942096166912,"@Jordicanal64 Pues si no fichan ""lo que sea"" además de un ridículo espantoso igual QSF nos deja plantados...esperemos que no   ",N
768071491447652352,@virsnroses cuando estén los 20 contactados y aprobados se publicará el listado en nuestra web ,NONE
768083732356075520,"@edu_rnieves Te la recomiendo, parece monótona pero hay capítulos que vuelven a subir el interés ",P
768082578519785472,Ya no tengo capítulos de Juego de Tronos para ver. Me siento vacía. ,N
768082463201587200,"@goetha Jajaja se aprovechó lo ke pudo, ya se fue a currar pero mañana descansa  mucho lío entonces no? Y con el malagueño que tal?",P
768497346342772737,@futbolero93 solo recuerda que Iman es tranquila ,P
768496682082373632,"@AlteaLaSueca en el debate que he estado leyendo, en el blog de Silvio @citaconsilvio lo pone el gran @feliuvicente citando al Che. ",NONE
768557093955698688,"comprendo que te molen mis tattoos, pero no te los hagas 'iguales' ",NEU
768557081561591808,@_betterton @juanrallo para cometer atentados terroristas (2) No creo que entonces existiera el burkini ,NONE
768556761209004032,@cayusollo pues necesito un audio para el próximo episodio ¿te animas? ,NONE
768512386269638656,@morbosaborealis jajajaja... eso es verdad... aquí no hay uno cuerdo ,N
768511417846730753,@xqwcrp @xoancarV Un lapsus advertido gracias a @Cascarelo y subsanado. Gracias por tu aportación. ,P
768530754510946304,@ManuBarba Lo feo es llegar al reina sofía y que los descuentos de estudiante sean para menores de 27 años ,N
768530671132352513,@IvnLz el resto puedo dudar pero de ese grupo lo tengo claro ,NEU
768530491104497664,@Pirata__Roberts hay gente muy buena trabajando duro en @SpheraSports. Palabras así impulsan  @Eliperezup,P
768530150002716672,"Ah vale, me suelta la puta subnormal, te estoy llamando.  Le digo que no me sale y dice ""ah, es que tengo el wifi apagado"" ",N
768529956162924544,@Adriansoler espero y deseo que el interior te cause lo mismo ,NEU
768529333493391360,"@FaranduleroYo Pues espero que no lo digas por mi niña o no voto mas  memeo, bueno cada uno tendra su opinion +",N
768529250257338368,@Tabernita @ptraciogg pregunta seria.  para cuando kedada/cañas de gente twittera de la zona? ,NONE
768529047878004736,"@GarbiMuguruza  Yo cuando pueda quiero tener el Omega Constellation,, con los numéricos romanos. ",P
768562609029255168,@feralcazar_ es grasioso porque en vez de aspirar a ser alcalde aspiras a concejal... ,N
768562544239927296,Hoy quiero hacer otro juego de estos de tw pero esque son todos iguales ,N
768562373472976896,"@Eleder_ Que tampoco ahora mayoría absoluta, eh? ",NONE
768562234582851584,Por desgracia el sorteo que tenía pensado hacer es sólo para gente de Europa  Ya haré más sorteos para todo el mundo!,N
768561501611360256,"@Paco_Jone Qué fácil es quedarse calladito, bajarse los pantalones y no decir ni mú... Cuánta ignorancia en tu ""opinión"". Saludos ",N
768561417037512705,Yo Me cago En los muertos De todas Las bacterias malignas De mi Garganta  .,N
768559589470117889,@reyminguela20 la próxima vez que vaya a Madrid no estarás en mis planes. Maldita ,N
768558926325485569,"@serbailop Totalmente. Aunque la post-tertulia ha sido muy interesante, hablando de todo esto, y la evolución (e involuciones) del cine ",P
768565622175371264,"@sosagraphs Pues tan sencillo porque en su día me puse a hacerlo y es de lo que mas encargos me hacen, aparte tengo mas estilos crack ",P
768564864117866496,@flyfap no había parada pero he visto una rotonda mu bonica en la que ponía Nules ,P
768564709712883713,"@hayar_96 abandoné mi tierra y llegué justo ayer a España, estoy sensible, te odio ",N
768544186853359616,"Ahora que estoy en Madrid casi no puedo hacer fotos chachis, solo a mi careto y no ",N
768543848742150144,@Eduardo_Pers Ps que las exterminen. Por mi salud mental  (y pa que pueda dejar de hacer el ridículo por la calle jajajaj),N
768566966906974208,"@Kosto_Trading @juanrallo Lo de prohibir el casco e ir enmascarado también es arbitrario y sectario, no? ",N
768566746773159936,@lirondos Ya lo tenía fichado y tengo ganas de darle uso  ¡¡Gracias!! ,P
768467569036713984,@elapersw buenas tardes! Se puede pasar? ,NONE
768511063545483264,@radioskylab_es ¡Pero explicar a fondo las zonas habitables y que condiciones necesita un planeta para serlo! ,NONE
768510568642842628,"@LibrosdeMaria no sé si hubo más gente, pero ayer te tagueé yo  ayy, Hannibal es que moooooola tanto!",P
768526478720065536,#Otegi inhabilitado   #EsLaSentencia  Mujeres tapadas hasta los ojos #EsSuCultura Teneis un sentido inamovible del mundo y de la vida.,N
768524445657001988,"@santicid ay, gracias. Lo malo es que ese es solo para primer viaje. Pero mil gracias igualmente ",P
768549166729555969,"Madrid está lleno de comida y crushes, no me llevéis de aquí ",N
768547980924293120,@albueto @ferderer2 @TipsterApuesta los reyes magos son mas reales que este ,N
768528725545742336,"Es worth para coger el bonus, pero es mucho más divertido luchar ",NEU
768528709225676800,"@SirDeschain @ChicaCascabel @reptarazul más bien tas tenía aprecio por raistlin, yo creo que al mago le daba un poco igual todo ",N
768528302655045632,"@Asukawachan Gracias  ya me pasó una vez y los antibióticos fueron milagrosos, estoy deseando que vuelva mi madre con ellos ",P
768547709519294464,@iwanancho quiero un Linoone con Tambor y Velocidad Extrema pero es de esos especiales de generaciones pasadas que ya no se puede ,N
768547351443169284,"@Tidxs_ 27. Parece que las cosas no te van muy bien, espero que todo mejore, que todo el mundo merece ser feliz ",NEU
768523211420073985,@amartino @yagoperrin los dos amigos menos quejicas que tengo ,P
768521914704887808,@MatiDiazWarrior @severinoiezzi @Maxisanchez06... ¡¡Nos sumamos a la felicitación a un grande!! ,P
768546209044758528,"Eso sí, demasiada sobredosis de guiños, cameos, homenajes, frases y planos repetidos de la original. Pero bueno, se acepta ",NEU
768546051112443904,"@David_Goen00 venga jimbre, lo que debes haver es hacerte cadista ",NEU
768545629522067456,Dio tener un perro es la ilusión de mi puta vida ,P
768544990595284992,@RoyalDarjeeling Muy mal!!! jajaja mas Geralt de rivia y menos juego de tronos ,N
768591525773189120,Por qué me gusta más tu personalidad que cualquier espalda ancha ,P
768591189746548736,@SergioSmiles Mirate D gray-man desde cero puta ,N
768590604326539264,"@BerothW Por supuesto, en el Mercadona. Hombre, encima que soy crush de alguien ",NEU
768589770062753792,hay alguien apuntando a mi ventana con un laser define pesadito ,N
768589541087248384,@carlotalotalota Me apena que haya pasado esto porque la idea de crear un colectivo estatal con divisiones locales era algo poderoso ,N
768584728270237697,"odio a lucia la vd, mi amor hacia ella es una gran tapadera pa comer nutella en su casa ",N
768586174470455296,No entiendo de verdad porque la gente cree que en realidad me la suda ,N
768585733191954432,@dovesandletters @SeveZubiri @Lady_Lolita @teleSURtv ese es Seve que se pone exquisito. Yo más de andar por casa (menos florida) ,NEU
768588994556813312,"Llevo como una hora repitiendo ""No debí haber bebido ese último Monster"" teniendo que madrugar  Mi vida.",N
768588061496209408,"@BrujadelTuiters . Estas palabras, del Poema, INSTANTES, son de Nadine Stair. Escritora norteamericana, a la q le gustan los helados.  ",NEU
768610928245997568,preparándome un colacao pa olvidarme de aquel bacalao... ,NEU
768582850530639873,gracioso bc en la película de Nunca apagues la luz utilizan luz negra y hoy he llegado a casa y han puesto uno en el baño ,P
768582505658220544,nos lo habíamos encontrado y estaba asustado cruzando una carretera y al final nos hemos tenido que marchar sin él. ,N
768556112488587265,"@unculemadrid si al final acabamos hablando un rato, era muy simpática  @jovigobi",P
768555767842635777,@PanchoGustavo tío peguemos al Lau  Sigues teniendo mi primer grinder?,NONE
768577963885522944,Este año el Madrid hará triplete y si lo hace me rapo al cero  grabad el mensaje jejej #ChiringuitoPiqué,P
768577563933413380,@valenciacf Mis sentimientos y mi orgullo por el Valencia son muy grandes. Yo quiero lo mejor para el Valencia. ,P
768579487986573316,"@przuppo @lolap245 me quedo con lo primer ""un pensamiento en un clic"" ",NONE
768578741316583424,@Landspecies y sentimos empatia hacia cualquier ser vivo sin distinción ,P
768576236721496064,Gracias tormenta por aparecer justo cuando me voy a meter en cama solita ,N
768576032282673152,@Monysito pues pocas cosas más bonitas puedes ver en la vida oye ,P
768575453410058240,"@Graffitera23 qué hermoso!,es bueno desviar la mirada al cielo y a las nubes de vez en cuando,abajo está jodido.preciosa foto,mil abrazos ",P
768574373213200384,@Monysito en la vida puede verseme una teta porque cuando me eche la foto no estaba desnuda ,N
768581320935104513,"@juanrallo Ya, ya. El edificio A sí, el edificio B no. Facilísimo de articular ",P
768580520821329921,Mañana es muy probablee que caiga un directo!! Y ya sabeis lo que pasa en los directos... ,NEU
768582085376405504,@Paloma_cv12 el club de la comedia se ha quedado demasiado grande #monologuista Jaja ,NEU
768581607112441856,"Lamento decirles que ya no soy calvo, mi calva perfecta se ve opacada por mi pelo ",P
768581403344797696,@Jorgeoneer ya pero no soy mucho de pc. No es muy potente el mío ,N
768500066315300864,"@MiguelBarranco5 @llautet @BelenFGonzalez @pastoreta1 @BetEmilio @txemadomi @Minadeideas hola miguel no,ahora estoy en ella ",NONE
768499472540241920,Nominada por @learamartell   Aquí van nuestras pelis y nuestros taggeados.  https://t.co/hWqxW19Rjr,NONE
768504713650241536,Ya me está jodiendo la tarde Pep...bueno me.voy a dar un.paseo ,N
768508909585858560,"@aitor48 Prohibirlo, no. Se pueden hacer campañas, pedagogía... y no aplaudir como están haciendo muchas pseudo-feministas  @ladypalo",N
768508856301457408,@Lahierritos pues sabran més q jo    *curso CCC de mirones y mironas ,N
768508490650423296,"He puesto la radio solo pa escucharle jajajajajajaja ai, que ganas de verle ya ostia ",P
768532035984101376,@Slow_Dancer_ TOTALMENTE  Pobre Gappy... que inocente es  no sabe con quien se ha encontrado.,N
768531597482156032,"@Tidxs_ 2. Hace mucho tiempo hablabamos por skype por un amigo en común y estaba guay, además de que eres muy mona! ",P
768531390262632448,"Buen partido a todos @overgame_org , suerte en la final de losers y a ver si nos volvemos a ver en la gran final. Saludo a esos casters ",P
768531373854449664,@levante_emv @valenciacf Un capullo menos en el Valencia. Si no esta al 100% con el Valencia lo mejor es venderlo. ,N
768534019927597060,@Angela_M_A_ hombre me dices que se oía mal  yo soy defensora de Amaiah a morir JAJAJ,NEU
768533994170359808,"Quiero que vuelva el invierno  y ponerme pantalones largos y chaquetas y sudaderas y abrigos, puto verano.",N
768533681023639557,Pensar en irse pronto a la cama y ver que dan 2 capítulos de #minorityreport la mejor manera de alegrarse la noche ,P
768536844522979328,"@DaniRS95 somos el PACMA, a todos caemos bien pero nadie nos quiere.  Lloremos juntos ",N
768535999924334593,Cuando sufres porque no encuentras emulador para jugar al pokemon rubí en iOS 9.3.4 ,N
768535920450600960,@Lentejitas @Manuj_Hidalgo @lupesb77 convenciendo a mi hija mayor para verlo ,NONE
768513758431965186,@ideiazabaldu no queda ni un país árabe laico... Hasta con Argelia y Tunez están acabando ,N
768513574809501696,Estoy muy nerviosa por el partido ,NEU
768513070901723136,"@olivares_javier Intentan salvar a Lincoln como Julián con Lorca... Aparte de que es una copia descarada de MdT, no se parecen en nada ",N
768595094958145536,"@_tontonina porque somos de Móstoles, salir de nuestro ambiente es difícil ",N
768594628815839232,ola wapa k tal stas?? spero k no seas una sorra kmo las otras xikas   - machirulo   QUÉ COJONES JAJSAKJKJSADJJSJASJAJAJA,N
768594172240592896,@sweetbiix pues ahí lo tienes. Si tú no huyes entonces eres una luchadora y no una cobarde no? ,P
768596566378774528,Es conveniente tener un Gobierno democrático que cumpla su función politica. NO lo es tener un Gobierno que representa la #corrupciónPP ,N
768596494920323072,@ann_lloret99 @luv_m0ney_party los salidos son los q suben cosas a esa página no yo ,N
768596407431430144,"otra noche hasta las 4 de la mañana despierta, aburrida y sin sueño, lo veo venir... ",N
768568980000874496,@CrususMusus_ me lo apunto en la lista de cosas posibles de hacer ,NONE
768568209159184385,"@ShawnUpdatesSA esta no es, le tienes que dar a US Store, solo se vende en US y Canadá  por ahora claro.",N
768568145607024640,Es triste que casi todas mis series acabadas hayan sido porque las han cancelado ,N
768568061544849408,@adri_buzo @FulgenLison Nop. Pero ahora me queda más claro el asunto  Gracias !,P
768592454601809920,Sólo quería hablar con gente en verda ,NEU
768592219641085953,como entraba una conversación de estas largas de hablar toda la noche con alguien ,NONE
768570743722536960,@Kosto_Trading @juanrallo O ponerte un casco de moto que te cubra por entero ,NONE
768570332290637824,"Hey, @rebecarus, que me dice Amazon que ""Todas las bodas necesitan un plan B"" ya está cargado en mi Kindle. ¿Empiezo ya o qué? ",NONE
768572230292869120,"@yolanday_y @el_pais Tras 72.000 años de viaje, conformate con que haya moléculas de Potasio y estén buenas ",P
768571999690031104,@mafolu2 no creas. Pero me gusta tener a la gente engañada  @GranCTimes,P
768571461900591104,Tú que he ido a cenar a mar de cristal y me he inflado y me duele la barriga ,N
768597310351765504,"Mira que soy pesimista a maza, pero odio que la gente sea TAAAAN pesimista ",N
768489417107443712,"@vanderhast Jajajaja en cuanto salga de mi bucle infinito con la casa, me imprimo los mapas a dos y lo estreno!! ",P
768463313801969664,"@VioletaTrujillo yo me resigno con alguna gente, si se creen a este personaje es porque no están dispuestos a escuchar ",N
768487949482729472,"@Baronachor El concepto es de lo más bonico, pero de eso a serlo hay un trecho ",NEU
768487936274882560,"Voy a estar unos días desaparecida, me estoy quedando sin gigas jajajja  q vida + triste !!! Me voy al parque con los perros..",N
768487818343612416,Tener las piernas llenas de picaduras de mosquitos que parecen heridas NO ME HACE GRACIA. ,N
768487102308818944,@liamverse se llama saber cual es la mejor forma de crear estructuras que aguanten ese peso ,NONE
768501514725912576,"@Mercadolibre Enhorabuena por los geniales resultados económicos de récord del trimestre pasado, hacéis un gran trabajo ",P
768498804526055424,Hay una exposición de cuadros y uno de ellos está estropeandose por el agua del aire acondicionado que le cae encima ,N
768498608870219776,"@CrimsonGhost__ Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres ",N
768498107898355712,@PattyCavallone Para los chicos es mil veces más fácil donar que para las chicas ,NEU
768497936351232002,lo malo es que faltaba su mid y acabaron haciendo remake ,N
768497668347850752,@Diego_FDM @el_pais La noticia perfecta para #NotasDelMisterio ,P
768479078072606720,Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...,P
768478485702647809,El Espanyol interesado en Aktí Mel para reforzar su defensa esta temporada. Llegaría por 2 millones del L-Casei Imunitas griego ,NONE
768506487555690496,"@juliojota96 Perdóname la maldad, Julio, que sabes q te quiero, pero borrándose del AMI se combate al menos a los separatas    ",P
768506208051494912,@Iluminaughty_ @Spiegel_Spike_ pues me da igual  yo escribo lo que pienso ^^ y cuando lo pienso ajajaj si es que lo pienso ,NONE
768470879906979840,"@miguelagaiteiro @cultrun @lozanoirene Si hay que pecar de algo, que sea de ser buena gente! ",P
768470471616659456,"@JuakyB me quedo tranquilo entonces, pero iré mirando la opción del coche ",P
768469401368748032,Mi puto novio me ignora y quiero saber si hay un chino cerca de la biblioteca ,N
768519871726518276,He salido de casa sin ir al baño y me estoy meando como una persona mayor ,N
768515769579823104,"@ferdiazgil @FranDguez sí, lo he leído  ese templo grande es el que he puesto en IG. Ha perdido su parte superior y está inaccesible",N
768515256079482881,"@AdriMarinaB Así me gusta, cada cosa a su CCAA. Así dejamos de cargar las culpas a nuestra querida nación. ",N
768493798049611776,"@ManudeOrleans pues yo no hay manera, y eso que tengo recuerdo lejano y de stats tengo una media de 69-70 ",N
768493600846012416,"@pobrezacero @nuevatribuna @ruthtoledano @FelipeAlcarazM @carlosbardem @carnecrudaradio @agarzon @cayo_lara Vamos mal, no... peor ",N
768492686173175812,"@lonchbox aaahm bueno, disfruta la vida por esos lares, yo me vuelvo a Rusia en breve ",NEU
768516996514377729,Silvia pesada deja de dar rt que me sale doble notificación ,N
768495148321894400,"@NeithanWolf @Cinefila_91 @Cinedepatio @SensaCine ""Resultad Sobrevives"" lo de estar loco funciona  ",NEU
768494796826632192,"@concht1 pero nos hemos desmovilizado, Concha. Nosotros/as solas dejamos las calles. Así nos va  @CiudadanosCs",N
768494461236154368,"Me he agobiado muchísimo porque no encontraba a mis amigos en el Bar, luego he recordado que no tengo amigos y me he puesto feliz ",NEU
768521153002569728,en realidá é algo duro de asimilar ni el alcohol me ayuda ,N
768520829688770560,@Boardgametotal los ábacos si están permitidos. Sobre todo porque la mayoría no saben usarlo ,N
768491722116587520,@beautyblog_es @isasaweis @_ANAMILAN_ ohhhhh eso tiene que ser muy divertido  me imagino que los hombres están vetados no?😀😀😀,P
767473312087805952,tio os quiero mil a los que me habéis hablado ,P
767473068793004033,@peroquedicesss en realidad es hipócrita todo eso como la camiseta esa de femimism del hym pero creo que en la vida cotidiana algo hace ,N
767536972952928256,"Había un hombre en la calle. Estornudó y yo desde la ventana le he dicho ""salud"" Me miró mal y siguió caminando  ",N
767531479207411712,"Me veis en persona, no me saludais y luego me hablais para decirme que me habeis visto ",N
767531452686893056,"@BlasAuryn si es que no puedo olvidar cuando te viii, imposible. Que resumiendo, no te puedo olvidar  y no lo haré jamás chiqui ❣️💞",P
767692725340831745,"@DTM_Spain    En las carreras es al revé a más interés, más coches  ... pero tú mismo lo dices, es una empresa, aunque se venda ...",P
767692611129868288,@Garcaterra estoy total y absolutamente desesperanzada  @ahorapodemos,N
767692240437338112,"@Sorayita_push Bien bien, si estan celebrando un cumpleaños, si todos nacieron el mismo dia hahahahahahha al menos son dos capítulos ",P
767700081353064448,"@Betvs_19 cucha, una independentista escribiendo en español!! Por muy del Barça que soy, te vas a buscar la vida  grassias.",N
767699067182940160,Porque son tan manipulables los pequeños ? Y porque no ven a su padre igual que a su madre ? Triste ,N
767699027089584128,@ApoyoCR7 Muy chulas esas gafas Paula  Y lo de guapa es talento innato tuyo :,P
767729800664539138,"@DiegoPajaron @miguel_prat dicen que tira pa, san Mateo ahora Jaaja ",NONE
767725883432009728,Esta tarde me voy a comprar un juego que estuve esperando muchísimo tiempo... posiblemente lo suba esta tarde-noche  Yoshi aparece ,P
767725615751593984,"Qué depresión me entra, de seguro gana gente que solo dio RT porque sí, por probar suerte y no verdaderos fans ",N
767725383185788928,"Gracias Victorerubio por recomendarme el seguimiento de @MandalaBeach. Artistas de talla internacional, monólogos y musica en directo ",P
767725063806345216,@sabrygarciarena Muy sexy Sabrina! Besitos y feliz día! ,P
767728214835924992,@RyFsw jajajaja.... eso es una indirecta  preparate #F que quiere reformar el baño,N
767727445663424512,WORK FROM HOME!! Sería espectacular y poder verlas más!  #ConMTVal727Tour,P
767727410645176320,"Esta bien tener hermanos, siempre y cuando uno de ellos no decida ser subnormal perdido ",N
767731763766525952,@DiegoPajaron @miguel_prat doble sub-campeón de Europa  algo es algo jaja,P
767731358739402752,@LuisFBonilla @isabelsevilla9 @adirecto @peichsantana Ole los buenos almerienses!!!! Mil besitos!!!! ,P
767731034419003392,@ToniThrowdown ahora tengo un dilema. Ayúdame Toni   Y en 3DS porque me salió a 25 euros nuevo https://t.co/2bSRMWnrZ5,NONE
767730342723743744,lo mejor es que son conversaciones normales y corrientes sin ningún ánimo de ligar pero  simplemente porque no se ligar ,NEU
767723670479536128,@DieRaposa @DrXaverius y otros biólogos como él se sentirán complacidos.  ¡Mola mucho! ,P
767733403785584640,"Estás haciendo MUY feliz a todo mi tl,yo también quiero que me sigas  @BlasAuryn",P
767733229231153152,"@iruri gracias, ya eran necesarias tras un duro año de trabajo  ¿has cogido tú ya?",P
767732992827613184,"@MrMedra ay, joder, que resulta que es completamente vegana. Pues ya no me la compro. ",N
767751537087119360,@__mxty Para cuando me escribes mi nombre bien precioso ,N
767751273294786560,"@Jabokatu yo no tengo ni idea y soy la primera que dice ""tiempo reglamentario""  pero en su día me convencieron de que estaba mal dicho.",N
767751112573194244,"@JeCaSWords @Humoryfotos El tuit va acompañado de una foto que quiere decir lo contrario, SÍ es sarcasmo ",NONE
768071182587494401,"@edortaramirez un click más, scroll y a veces el usuario se queda un poco colgado sin saber bien lo que tiene que hacer ",N
768070559825530881,"@Ronan_Coke @angelesuc1 @josecg96 @Airatarra @andarellabcn Muy triste, pero no olvidemos la inestimable colaboración del estado en ello  ",N
768070129489969152,@escapeofthecrow el rottweiler es precioso pero... Esta zumbadisimo y ataca  y yo muero de ganas de achucharlo,N
768117878197522432,@rossiepussie @luciakawaii1 te lleguen a entender y a respetar. Muy malos tienen que ser para obligarte a comer algo a la fuerza ,N
768117648441876480,"Si es que llegáis aquí desde mi Favstar del cretácico y claro, luego no me duráis ni un suspiro. Que mis neuronas no son como antes, jopé ",N
768117343599812608,@AndreaNavedo Hola bella Andrea!! Qué tengas un maravilloso día!! Besitos! ,P
768116436241879040,En fin estoy más sola que la una viendo como una bollera duerme y esperando como un perrito pa q me saquen a pasear ,N
768115910657712128,"@mamarracha2000 yo los vi en el Low cost de hace 3 años y me decepcionaron, aunque dicen que lo mismo hacen una cagada o son la hostia ",N
768137683407343616,@TodoMegaDrive esta vez me decanto por la japonesa. P. Me encanta la batalla de caratulas ,P
768137083839971328,@MarckLebowski michael jackson tambien y la gente canta sus canciones ,NONE
768136915803660289,@Miraqbien podrías solidarizarte conmigo y no comer ninguno... ,NEU
768136146199142400,@kioskoAMM @gloris72 @olivares1965 @Tomasimedia @madeinLeon Gracias pero los importantes sois vosotros.  Los mediadores.  Sois muy buenos ,P
768136027303215105,Volviendo a la actividad en #PlanetaInquietante con otro curioso hallazgo en Canelas.  #Portonovo,NONE
768138258987573248,"@RarrochaR bien dicho Roberto,  las cosas por su nombre,  porque nadie dice cola cado ",P
768135201386065920,me acaba de seguir una página para ligar por gustos musicales. sé que estoy sola pero ,N
768142391639433221,Tengo una hermana que con ella no me puedo aburrir jaja creo que todas las gilipolleces las ha aprendido de mí. Es como una segunda Nicky ,P
767835844904382464,@FannyGEnguix estarás super mona  cuando pueda lo miraré yo también. Me molaría grupal de 'chicas Spidey',P
767884595278782465,"@EstherSwaggy ¿haces también la misma carrera? Jo, igual de una comunidad a otra cambian, be positive ",NEU
767875344254832644,@Polifack yo es que me asustó muy fácil con el rollo paranormal ,N
767877851848802306,"@BroomKurosawa pues descansa tío, si se pone grave la cosa no podrás jugar en muchísimo tiempo ",N
767877566992674816,@cantabriamiguel @Fabiana_tfp @elmundoes @larazon_es @elpais_espana n escarmentams a ver si van a ser mismas encueshshtasshs eh @ierrejon ,N
767883067952394240,Sara piensa q vivo rayada xq me duermo escuchando a beret y weno ,N
767882830282194945,yo con un mensaje de buenos días y un corazón soy feliz ,P
767878422261628928,@anhela_ @Maxferibar @elprogramadear @PSOE así es compañera. Un fuerte abrazo! ,P
767672110835728384,@NormaRuiz01 Y tú tan estupenda como siempre!! Besitos y feliz día!! ,P
767670654757896192,al menos con ftwd se me hace más ameno esperar a twd en Octubre ,P
